Site	Key	rule	attribute_name	page_id	rule	attribute_name	page_id																														
www.fullcompass.com	5734-Lenses for Light Fixtures	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5735-Lighting for equipment / consoles, Littlite	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5736-Lighting, Theater Instruction Books	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5737-Line Amps, Level Matching Amps	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5738-Line Array Microphones	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5739-MIDI Pickups for Guitar	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5740-Marching Cymbals	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5741-Melodicas	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5742-Microphone Shock Mounts	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5743-Microphone Spring Arm	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5744-Misc Tools	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5745-Misc. Bass Strings	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5746-Misc. Keyboard Accessories	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5747-Misc. Pedals	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5748-Misc. USB and MIDI Controllers	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5749-Mixers 32 inputs or more for Sound Reinforcement	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5750-Mixers Commercial, Zone, Paging, Background Music, No Amplifier	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5751-Module, Kit Mixers	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5752-Modules for Wireless Receivers	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5753-Monitor Muting / Tally Controller	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5754-Monitors, Subwoofer + Satellite Systems	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5755-Multi - Pin Audio Connectors	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5756-Paging / Dispatch Microphones	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5757-Pedalboard Power Supplies and Distribution	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5758-Pedalboards and Pedalboard Cases	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5759-Phaser Pedals	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5760-Pickguards	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5761-Pipe and Drape, Table and Stage Skirting	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5762-Power Adapters, Y's and T's	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5763-RCA to XLR Adapters	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5764-RF Accessories	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5765-RF Amplifiers	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5766-Rackmount and Tabletop Guitar Effects	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5767-SDI Extenders	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5768-Sand Bags	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
