SITO	CHIAVE	PATH	LABEL	PAGE_ID	PATH_2	LABEL_2	PAGE_ID_2	PATH_3	LABEL_3	PAGE_ID_3	PATH_4	LABEL_4	PAGE_ID_4	PATH_5	LABEL_5	PAGE_ID_5	PATH_6	LABEL_6	PAGE_ID_6
www.frys.com	9870-Refrigerators	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9871-Safes	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9872-Security & Surveillance Cameras	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9873-Shavers & Trimmers	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9874-Shelf Systems	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9875-Speaker Docks	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9876-Streaming Media Players	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9877-Tablet Cables & Adapters	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9878-Tablet Cases	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9879-Tablet Cleaning Kits	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9880-Televisions	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9881-Toys	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9882-Voice Recorders	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9883-monitor	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.fullcompass.com	9886-1 / 4" to XLR Adapters, Transformer Type	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9887-1 / 8" Mini to 2.5 mm Adapters	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9888-76 - Note Keyboard Controllers	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9889-A / D and D / A Video Converters	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9890-A/V Controllers	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9891-Accessories for CCTV, Industrial Cameras	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9892-Accessories for DSP Processors	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9893-Accessories for Earbuds, Earsets, Earphones	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9894-Accessories for TV / Monitors	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9895-Accessories for Wireless Microphones	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9896-Accessories for connectors,  Panels, Plates	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9897-Accessories, Recorders	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9898-Acoustic Guitar Preamps and DI	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9899-Acoustic Mounting, Glue, Accessories	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9900-Amplifier Stands	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9901-Android Tablets	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9902-Apple Displays	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9903-Audio, Sound, Recording Instruction Books	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9904-BNC  Adapters	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9905-BNC to RCA Adapters	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9906-BNC to XLR Adapters	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9907-Back Boxes, Enclosures	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9908-Banjos	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9909-Bass Multi - Effects	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9910-Bass and Subwoofers	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9911-Batteries, Non Rechargable	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9912-Battery - Belts, Belt - Bricks	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9913-Bluetooth Wireless Microphone Interfaces	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9914-Business Software	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9915-CD Changers	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9916-CD Duplicators	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9917-CD Label Printers	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9918-CFast cards	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9919-Cable Reels	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9920-Cable Strippers, Crimpers, Prep. Tools	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9921-Cable TV, RF Distribution Testers	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9922-Camera Pedestals	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9923-Camera Tripods with Heads	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9924-Channel Strips	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9925-Chemicals and Maintenance Supplies	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9926-Chroma Keying	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9927-Color Frames	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9928-Commercial 70 - V. Power Amplifiers	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9929-Commercial Industrial In / On Ceiling Speakers, with grills or enclosures	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9930-Commercial Industrial In / On Wall Speakers	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9931-Complete Drum Sets	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9932-Congas	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9933-Consumer Camcorders	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9934-Control Accessories	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9935-Control Room Talkback Controllers	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9936-DSP Audio Processor Hardware	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9937-DV / Firewire IEEE Adapters	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9938-DVI Splitters	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9939-Data / Digital Adaptors	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9940-Data Patchbays	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9941-Delay and Echo Pedals	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9942-Delays, Time Shifters for Video	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9943-Disk Based Video Recorders	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9944-Distribution Amplifiers, VGA / XGA	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9945-Distribution Amps, Analog Audio	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9946-Electric Guitar Packages	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9947-Electrical Test Equipment	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9948-Electronic Cymbals	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9949-Electronic Drum Accessories and Hardware	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9950-Entertainment Business Books	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9951-Expansion Chassis / Enclosures	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9952-External Hard Drives	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9953-Ferrite Suppressors	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9954-Flashlights, Headlamps	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9955-Floor Toms	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9956-Fog Machines	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
www.fullcompass.com	9957-Gaffers Tape	//*[@id="ProductInfo"]/p/text()	OUR PART #	1															
